Benchmark_Type; Integer_Type; Vector_Size; Thread_Count; Count; Bandwidth
0;1; 32; 1; 16; 2
0;1; 64; 1; 28; 2.28571
0;1; 128; 1; 53; 2.41509
0;1; 256; 1; 103; 2.48544
0;1; 512; 1; 202; 2.53465
0;1; 1024; 1; 401; 2.55362
0;1; 2048; 1; 810; 2.5284
0;1; 4096; 1; 1607; 2.54885
0;1; 8192; 1; 3203; 2.5576
0;1; 16384; 1; 6408; 2.5568
0;1; 32768; 1; 13114; 2.4987
0;1; 65536; 1; 25594; 2.5606
0;1; 131072; 1; 51142; 2.5629
0;1; 262144; 1; 102614; 2.55466
0;1; 524288; 1; 206410; 2.54003
0;1; 1048576; 1; 413942; 2.53315
0;1; 2097152; 1; 825438; 2.54065
0;1; 4194304; 1; 1653717; 2.53629
0;1; 8388608; 1; 3311497; 2.53318
0;1; 16777216; 1; 6609241; 2.53845
0;1; 33554432; 1; 14050635; 2.38811
0;1; 67108864; 1; 27157527; 2.4711
0;1; 134217728; 1; 52860766; 2.53908
0;1; 268435456; 1; 105281381; 2.5497
0;1; 536870912; 1; 209454285; 2.56319
0;2; 32; 1; 10; 3.2
0;2; 64; 1; 16; 4
0;2; 128; 1; 28; 4.57143
0;2; 256; 1; 53; 4.83019
0;2; 512; 1; 103; 4.97087
0;2; 1024; 1; 203; 5.04433
0;2; 2048; 1; 365; 5.61096
0;2; 4096; 1; 707; 5.79349
0;2; 8192; 1; 1394; 5.87661
0;2; 16384; 1; 2760; 5.93623
0;2; 32768; 1; 5503; 5.95457
0;2; 65536; 1; 10990; 5.96324
0;2; 131072; 1; 21938; 5.97466
0;2; 262144; 1; 44486; 5.89273
0;2; 524288; 1; 91467; 5.73199
0;2; 1048576; 1; 182291; 5.75221
0;2; 2097152; 1; 364805; 5.74869
0;2; 4194304; 1; 727470; 5.7656
0;2; 8388608; 1; 1457442; 5.75571
0;2; 16777216; 1; 2905216; 5.77486
0;2; 33554432; 1; 10383124; 3.23163
0;2; 67108864; 1; 21764595; 3.0834
0;2; 134217728; 1; 43520878; 3.08398
0;2; 268435456; 1; 87214863; 3.07786
0;2; 536870912; 1; 174501410; 3.0766
0;4; 32; 1; 7; 4.57143
0;4; 64; 1; 10; 6.4
0;4; 128; 1; 17; 7.52941
0;4; 256; 1; 31; 8.25806
0;4; 512; 1; 60; 8.53333
0;4; 1024; 1; 117; 8.75214
0;4; 2048; 1; 240; 8.53333
0;4; 4096; 1; 467; 8.77088
0;4; 8192; 1; 924; 8.8658
0;4; 16384; 1; 1841; 8.89951
0;4; 32768; 1; 3670; 8.92861
0;4; 65536; 1; 7335; 8.9347
0;4; 131072; 1; 14600; 8.97753
0;4; 262144; 1; 29581; 8.8619
0;4; 524288; 1; 60725; 8.63381
0;4; 1048576; 1; 122065; 8.59031
0;4; 2097152; 1; 245898; 8.52854
0;4; 4194304; 1; 489090; 8.57573
0;4; 8388608; 1; 978157; 8.57593
0;4; 16777216; 1; 1955387; 8.58
0;4; 33554432; 1; 13728424; 2.44416
0;4; 67108864; 1; 29119467; 2.3046
0;4; 134217728; 1; 58114962; 2.30952
0;4; 268435456; 1; 116896730; 2.29635
0;4; 536870912; 1; 233214021; 2.30205
0;8; 32; 1; 4; 8
0;8; 32; 2; 4; 16
0;8; 32; 4; 4; 32
0;8; 32; 8; 4; 64
0;8; 64; 1; 8; 8
0;8; 64; 2; 9; 14.2222
0;8; 64; 4; 9; 28.4444
0;8; 64; 8; 9; 56.8889
0;8; 128; 1; 14; 9.14286
0;8; 128; 2; 14; 18.2857
0;8; 128; 4; 14; 36.5714
0;8; 128; 8; 15; 68.2667
0;8; 256; 1; 24; 10.6667
0;8; 256; 2; 26; 19.6923
0;8; 256; 4; 26; 39.3846
0;8; 256; 8; 26; 78.7692
0;8; 512; 1; 48; 10.6667
0;8; 512; 2; 48; 21.3333
0;8; 512; 4; 47; 43.5745
0;8; 512; 8; 47; 87.1489
0;8; 1024; 1; 89; 11.5056
0;8; 1024; 2; 92; 22.2609
0;8; 1024; 4; 92; 44.5217
0;8; 1024; 8; 93; 88.086
0;8; 2048; 1; 130; 15.7538
0;8; 2048; 2; 138; 29.6812
0;8; 2048; 4; 135; 60.6815
0;8; 2048; 8; 136; 120.471
0;8; 4096; 1; 244; 16.7869
0;8; 4096; 2; 256; 32
0;8; 4096; 4; 255; 64.251
0;8; 4096; 8; 259; 126.517
0;8; 8192; 1; 475; 17.2463
0;8; 8192; 2; 491; 33.3686
0;8; 8192; 4; 489; 67.0102
0;8; 8192; 8; 487; 134.571
0;8; 16384; 1; 938; 17.467
0;8; 16384; 2; 978; 33.5051
0;8; 16384; 4; 968; 67.7025
0;8; 16384; 8; 959; 136.676
0;8; 32768; 1; 1847; 17.7412
0;8; 32768; 2; 1937; 33.8338
0;8; 32768; 4; 1913; 68.5165
0;8; 32768; 8; 1905; 137.608
0;8; 65536; 1; 3842; 17.0578
0;8; 65536; 2; 4010; 32.6863
0;8; 65536; 4; 3993; 65.6509
0;8; 65536; 8; 4234; 123.828
0;8; 131072; 1; 7726; 16.9651
0;8; 131072; 2; 8102; 32.3555
0;8; 131072; 4; 7977; 65.725
0;8; 131072; 8; 8039; 130.436
0;8; 262144; 1; 16154; 16.2278
0;8; 262144; 2; 17216; 30.4535
0;8; 262144; 4; 16932; 61.9287
0;8; 262144; 8; 16952; 123.711
0;8; 524288; 1; 39536; 13.261
0;8; 524288; 2; 41184; 25.4608
0;8; 524288; 4; 40649; 51.5917
0;8; 524288; 8; 42071; 99.6958
0;8; 1048576; 1; 79903; 13.1231
0;8; 1048576; 2; 82233; 25.5026
0;8; 1048576; 4; 81172; 51.6718
0;8; 1048576; 8; 83900; 99.9834
0;8; 2097152; 1; 159757; 13.1271
0;8; 2097152; 2; 165804; 25.2968
0;8; 2097152; 4; 164100; 51.1189
0;8; 2097152; 8; 162776; 103.069
0;8; 4194304; 1; 319847; 13.1135
0;8; 4194304; 2; 327427; 25.6198
0;8; 4194304; 4; 325390; 51.5603
0;8; 4194304; 8; 1056622; 31.7563
0;8; 8388608; 1; 637518; 13.1582
0;8; 8388608; 2; 662984; 25.3056
0;8; 8388608; 4; 1780339; 18.8472
0;8; 8388608; 8; 2884989; 23.2614
0;8; 16777216; 1; 1270708; 13.203
0;8; 16777216; 2; 3623871; 9.25928
0;8; 16777216; 4; 4146231; 16.1855
0;8; 16777216; 8; 5800232; 23.1401
0;8; 33554432; 1; 6586861; 5.09415
0;8; 33554432; 2; 7582453; 8.85055
0;8; 33554432; 4; 8308334; 16.1546
0;8; 33554432; 8; 11580349; 23.1803
0;8; 67108864; 1; 13436987; 4.99434
0;8; 67108864; 2; 14534392; 9.23449
0;8; 67108864; 4; 15993744; 16.7838
0;8; 67108864; 8; 20469451; 26.2279
0;8; 134217728; 1; 26630483; 5.04
0;8; 134217728; 2; 28492530; 9.42126
0;8; 134217728; 4; 30333569; 17.6989
0;8; 134217728; 8; 34639324; 30.9978
0;8; 268435456; 1; 53055866; 5.05949
0;8; 268435456; 2; 55917516; 9.60112
0;8; 268435456; 4; 58604124; 18.3219
0;8; 268435456; 8; 65062739; 33.0064
0;8; 536870912; 1; 105962719; 5.0666
0;8; 536870912; 2; 110207268; 9.74293
0;8; 536870912; 4; 117741328; 18.239
0;8; 536870912; 8; 127342558; 33.7277
1;1; 32; 1; 16; 2
1;1; 64; 1; 28; 2.28571
1;1; 128; 1; 53; 2.41509
1;1; 256; 1; 103; 2.48544
1;1; 512; 1; 203; 2.52217
1;1; 1024; 1; 403; 2.54094
1;1; 2048; 1; 816; 2.5098
1;1; 4096; 1; 1617; 2.53309
1;1; 8192; 1; 3224; 2.54094
1;1; 16384; 1; 6440; 2.5441
1;1; 32768; 1; 12813; 2.5574
1;1; 65536; 1; 25661; 2.55391
1;1; 131072; 1; 51329; 2.55357
1;1; 262144; 1; 102886; 2.54791
1;1; 524288; 1; 207688; 2.5244
1;1; 1048576; 1; 414885; 2.52739
1;1; 2097152; 1; 829916; 2.52694
1;1; 4194304; 1; 1662704; 2.52258
1;1; 8388608; 1; 3319845; 2.52681
1;1; 16777216; 1; 6627781; 2.53135
1;1; 33554432; 1; 14147743; 2.37172
1;1; 67108864; 1; 27496209; 2.44066
1;1; 134217728; 1; 53498088; 2.50883
1;1; 268435456; 1; 106006044; 2.53227
1;1; 536870912; 1; 211214325; 2.54183
1;2; 32; 1; 10; 3.2
1;2; 64; 1; 17; 3.76471
1;2; 128; 1; 32; 4
1;2; 256; 1; 60; 4.26667
1;2; 512; 1; 117; 4.37607
